STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,ACTIVITY,Economic activity,UNIT_MEASURE,Unit of measure,PRICE_BASE,Price base,TRANSFORMATION,Transformation,ADJUSTMENT,Adjustment,CONVERSION_TYPE,Conversion type,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,BASE_PER,Base period,DECIMALS,Decimals
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,DEU,Germany,A,Annual,KSER,Capital services,_T,Total - all activities,PA,Percent per annum,V,Current prices,GY,"Growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,1995,,2.086624,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,DEU,Germany,A,Annual,KSER,Capital services,_T,Total - all activities,PA,Percent per annum,V,Current prices,GY,"Growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,1994,,2.274586,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,DEU,Germany,A,Annual,KSER,Capital services,_T,Total - all activities,PA,Percent per annum,V,Current prices,GY,"Growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,1993,,2.457165,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,DEU,Germany,A,Annual,KSER,Capital services,_T,Total - all activities,PA,Percent per annum,V,Current prices,GY,"Growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,1992,,3.78438,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,DEU,Germany,A,Annual,KSER,Capital services,_T,Total - all activities,PA,Percent per annum,V,Current prices,GY,"Growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,1991,,4.277803,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,DEU,Germany,A,Annual,KSER,Capital services,_T,Total - all activities,PA,Percent per annum,V,Current prices,GY,"Growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,1990,,4.189244,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,DEU,Germany,A,Annual,KSER,Capital services,_T,Total - all activities,PA,Percent per annum,V,Current prices,GY,"Growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,1989,,3.941117,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,DEU,Germany,A,Annual,KSER,Capital services,_T,Total - all activities,PA,Percent per annum,V,Current prices,GY,"Growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,1988,,3.68966,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,DEU,Germany,A,Annual,KSER,Capital services,_T,Total - all activities,PA,Percent per annum,V,Current prices,GY,"Growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,1987,,3.408095,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,DEU,Germany,A,Annual,KSER,Capital services,_T,Total - all activities,PA,Percent per annum,V,Current prices,GY,"Growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,1986,,3.458147,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,DEU,Germany,A,Annual,KSER,Capital services,_T,Total - all activities,PA,Percent per annum,V,Current prices,GY,"Growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,1985,,3.461223,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,DEU,Germany,A,Annual,ULCH,Unit labour costs (hours based),_T,Total - all activities,PA,Percent per annum,V,Current prices,GY,"Growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2022,,3.466782,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,DEU,Germany,A,Annual,ULCH,Unit labour costs (hours based),_T,Total - all activities,PA,Percent per annum,V,Current prices,GY,"Growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2021,,0.011707,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,DEU,Germany,A,Annual,ULCH,Unit labour costs (hours based),_T,Total - all activities,PA,Percent per annum,V,Current prices,GY,"Growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2020,,2.963712,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,DEU,Germany,A,Annual,ULCH,Unit labour costs (hours based),_T,Total - all activities,PA,Percent per annum,V,Current prices,GY,"Growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2019,,3.078269,,A,Normal value,0,Units,,,2,Two
